Latin_orthography,Latin_IPA,freqTFTL,Spanish_IPA,,
tempus,tempus,27652,tjémpo,*,
terram,terram,26640,tjéra,,
turrim,turrim,564,tóre,,
taurum,tawrum,425,tóɾo,,
trēs,treːs,,tɾés,,
tristitiam,tristitiam,1741,tɾistéθa,,
truncum,trunkum,126,tɾónko,,
ultimum,ultimum,4070,último,,
fūmum,fuːmum,437,úmo,,
furtum,furtum,1477,úɾto,,
ūsum,uːsum,5966,úso,,
uēritātem,weːritaːtem,13110,veɾdád,,
ōvum,oːwum,,wébo,*,
ortum,ortum,1674,wéɾto,,
hortum,hortum,810,wéɾto,,
hostem,hostem,2865,wéste,,
iānuam,jaːnuam,1220,xámba,,
gentem,ɡentem,2311,xénte,,
iustitiam,justitiam,11772,xustíθja,,
iūdicem,juːdikem,2952,xwéθ,,
iūdicium,juːdikium,17572,xwíθjo,,
cibum,kibum,3722,θébo,,
cēpulla,keːpulla,,θebóʎa,,
cēnam,keːnam,788,θéna,,
centrum,kentrum,892,θéntɾo,,
caecum,kajkum,,θjégo,,
caelum,kajlum,14528,θjélo,,
scientiam,skientiam,8438,θjénθja,*,
cīuitātem,kiːwitaːtem,7914,θjudád,,
pēnsum,peːnsum,,péso,,
dīrectum,diːrektum,,deɾéʧo,,
rēte,reːte,,ɾéd,,
ossum,ossum,,wéso,,
tam,tam,,tán,,
quem,kwem,,kjén,,
carnem,karnem,,káɾnem,,
platea,platea,,pláθa,,
bāsium,baːsium,,béso,,
maurum,mawrum,,móɾo,,
pinea,pinea,,píɲa,,
pullum,pullum,,póʎo,,
cunīculum,kuniːkulum,,conéxo,,
mappa,mappa,,mápa,,
sine,sine,,sín,,
ārea,aːrea,,éɾa,,
bene,bene,,bjén,,
salem,salem,,sál,,
tantum,tantum,,tánto,,
ipse,ipse,,ése,,
domīnicum,domiːnikum,,domíngo,,
latīnum,latiːnum,,ladíno,,
trēs,treːs,,tɾés,,
cum,kum,,kón,,
iouis,iowis,,xwébes,,
ūua,uːwa,,úba,,
cista,kista,,θésta,,
rēgālem,reːgaːlem,,ɾeál,,
ouicula,owikula,,obéxa,,
sīc,siːk,,sí,,
autumnum,awtumnum,,otóɲo,*,
rosa,rosa,,ɾósa,,
capra,kapra,,kábɾa,,
salūtem,saluːtem,,salúd,,
plūma,pluːma,,plúma,*,
magis,magis,,más,,
pira,pira,,péɾa,,
titulum,titulum,,tílde,,
spatula,spatula,,espálda,,
arānea,araːnea,,aɾáɲa,,
cincta,kinkta,,θínta,,
cārum,kaːrum,,káɾo,,
punctum,punktum,,púnto,*,
quintum,kwintum,,kínto,,
charta,kʰarta,,káɾta,,
thema,tʰema,,téma,,
plicāre,plikaːre,,ʎegáɾ,,
thēsaurum,tʰeːsawrum,,tesóɾo,,
pūlica,puːlika,,púlga,,
